淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),日期,月份
32766,29734,3032,20210104,01
33772,30679,3093,20210111,01
33095,29938,3157,20210118,01
33063,29794,3269,20210125,01
31980,29042,2938,20210201,02
30962,27915,3047,20210208,02
26109,23465,2644,20210215,02
32355,29366,2989,20210222,02
29388,26556,2832,20210301,03
32882,29772,3110,20210308,03
33163,30088,3075,20210315,03
32832,29607,3225,20210322,03
34641,31460,3181,20210329,03
28935,26063,2872,20210405,04
34357,31152,3205,20210412,04
33851,30760,3091,20210419,04
34525,31328,3197,20210426,04
35000,31766,3234,20210503,05
38606,35087,3519,20210510,05
38879,37442,1437,20210517,05
40178,37893,2285,20210524,05
37716,33639,4077,20210531,05
37461,32859,4602,20210607,06
35370,32097,3273,20210614,06
39968,35982,3986,20210621,06
39839,34834,5005,20210628,06
39664,37396,2268,20210705,07
41676,38212,3464,20210712,07
41902,38564,3338,20210719,07
42650,38132,4518,20210726,07
39204,34688,4516,20210802,08
40006,35161,4845,20210809,08
41417,36997,4420,20210816,08
42163,37507,4656,20210823,08
40993,37244,3749,20210830,08
41641,37758,3883,20210906,09
40518,36672,3846,20210913,09
38130,31219,6911,20210920,09
41573,37178,4395,20210927,09
41261,37505,3756,20211004,10
33434,30820,2614,20211011,10
37985,32083,5902,20211018,10
35729,31686,4043,20211025,10
35005,31648,3357,20211101,11
36624,31207,5417,20211108,11
34260,30689,3571,20211115,11
36938,30330,6608,20211122,11
33850,31077,2773,20211129,11
33979,30187,3792,20211206,12
34324,30241,4083,20211213,12
33026,30384,2642,20211220,12
34054,30287,3767,20211227,12
33160,29976,3184,20220103,01
32696,30205,2491,20220110,01
33302,30586,2716,20220117,01
33477,30310,3167,20220124,01
26232,23121,3111,20220131,01
32739,29753,2986,20220207,02
33538,30572,2966,20220214,02
33367,31361,2006,20220221,02
31464,27337,4127,20220228,02
