淨尖峰供電能力(MW),尖峰負載(MW),備轉容量(MW),日期,月份
28513,25476,3037,20210103,01
30161,27255,2906,20210110,01
29746,26712,3034,20210117,01
28790,25717,3073,20210124,01
28364,25458,2906,20210131,01
28678,25915,2763,20210207,02
25351,22440,2911,20210214,02
28396,25257,3139,20210221,02
27689,25017,2672,20210228,02
28545,25794,2751,20210307,03
28574,25641,2933,20210314,03
28874,25688,3186,20210321,03
29783,26864,2919,20210328,03
28213,25218,2995,20210404,04
29471,26623,2848,20210411,04
28991,26128,2863,20210418,04
29452,26541,2911,20210425,04
30183,27208,2975,20210502,05
32192,29217,2975,20210509,05
35742,32436,3306,20210516,05
34358,32114,2244,20210523,05
32170,28566,3604,20210530,05
31346,27283,4063,20210606,06
34015,31286,2729,20210613,06
35923,31767,4156,20210620,06
34576,30256,4320,20210627,06
36200,31675,4525,20210704,07
35564,32170,3394,20210711,07
36118,31661,4457,20210718,07
35478,31984,3494,20210725,07
35541,30055,5486,20210801,08
34240,30174,4066,20210808,08
34537,31054,3483,20210815,08
35401,31548,3853,20210822,08
37014,32332,4682,20210829,08
36102,31540,4562,20210905,09
33924,29916,4008,20210912,09
34442,31289,3153,20210919,09
34592,31383,3209,20210926,09
34310,30993,3317,20211003,10
34556,30914,3642,20211010,10
33855,27308,6547,20211017,10
31984,26935,5049,20211024,10
31688,27201,4487,20211031,10
30861,28277,2584,20211107,11
30894,26067,4827,20211114,11
31360,27262,4098,20211121,11
30156,26721,3435,20211128,11
29808,26188,3620,20211205,12
30720,26205,4515,20211212,12
29514,26086,3428,20211219,12
30001,26572,3429,20211226,12
29556,25915,3641,20220102,01
29720,26562,3158,20220109,01
30222,26793,3429,20220116,01
29462,27161,2301,20220123,01
28194,25107,3087,20220130,01
28991,25883,3108,20220206,02
30795,27038,3757,20220213,02
31406,28434,2972,20220220,02
29926,26196,3730,20220227,02
